date,Red_warning,orange_warning
7/3/20,Trial not started,
7/4/20,Trial not started,
7/5/20,Trial not started,
7/6/20,Trial not started,
7/7/20,Trial not started,
7/8/20,Trial not started,
7/9/20,Trial not started,
7/10/20,Trial not started,
7/11/20,Trial not started,
7/12/20,Trial not started,
7/13/20,Trial not started,
7/14/20,Trial not started,
7/27/20,Insentec break down,
7/28/20,Insentec break down,
7/29/20,Insentec break down,
7/30/20,Insentec break down,
7/31/20,Insentec break down,
8/1/20,,Water bin 5 broke down
8/2/20,,Water bin 5 broke down
8/3/20,,Water bin 5 broke down
8/4/20,,Water bin 5 broke down
8/5/20,,Water bin 5 broke down
8/6/20,,Water bin 5 broke down
8/7/20,,Water bin 5 broke down
8/8/20,,Water bin 5 broke down
8/9/20,,Water bin 5 broke down
8/10/20,,Water bin 5 broke down
8/11/20,,Water bin 5 broke down; cow 4038 moved to box stall
8/12/20,,Water bin 5 broke down
8/13/20,,Water bin 5 broke down
8/14/20,,Water bin 5 broke down
8/15/20,,Water bin 5 broke down
8/16/20,,Water bin 5 broke down
8/17/20,,Water bin 5 broke down; cow 4038 returned to pen 26
8/18/20,,Water bin 5 broke down
8/19/20,,Water bin 5 broke down
8/20/20,,Water bin 5 broke down
8/21/20,,Water bin 5 broke down
8/22/20,,Water bin 5 broke down
8/23/20,,Water bin 5 broke down
8/24/20,,Water bin 5 broke down
8/25/20,,Water bin 5 broke down
8/26/20,,Water bin 5 broke down
8/27/20,,Water bin 5 broke down
8/28/20,Water bins shutdown for maintenance from 11:55 to 16:30,
8/29/20,,Water bin 5 broke down
9/2/20,,cow 7146 lost ear tag
9/3/20,,cow 7146 lost ear tag
9/4/20,,cow 7146 lost ear tag
9/5/20,,cow 5041 moved to pen 10
9/5/20,,cow 7146 lost ear tag
9/6/20,,cow 7146 lost ear tag
9/7/20,,cow 7146 lost ear tag
9/8/20,,cow 7146 lost ear tag
9/9/20,,cow 7146 lost ear tag
9/10/20,,cow 5041 return to pen 26
9/10/20,,cow 7146 lost ear tag
9/26/20,Insentec break down,
9/27/20,Insentec break down,
11/2/20,,cow 6130 lost ear tag
11/3/20,,cow 6130 lost ear tag
11/9/20,,cow 6028 removed from the pen
12/18/20,,cow 3150 moved to box stall
2/3/21,Human present disturbance,
2/4/21,Human present disturbance,
2/5/21,Insentec break down,
2/6/21,Insentec break down,
2/7/21,Insentec break down,
2/8/21,bin 5 & 6 down,
2/9/21,bin 5 & 6 down,
2/10/21,"bin 3, 4, 5 & 6 down",
2/11/21,,Power Outage from 17:30 - 18:20; extreme cold weather
2/12/21,,"extreme cold weather, bins not closing properly"
2/16/21,,"Cow 5120 lost both tages, registered as 1111"
2/17/21,,"Cow 5120 lost both tages, registered as 1111"
2/18/21,,"Morning only:Cow 5120 lost both tages, registered as 1111"
3/6/21,"Insentec compressor was not working, and Cow 6062 lost transponder before 8AM",
3/11/21,Insentec disturbed in the morning,
3/13/21,"Insentec aren't opening for cows, manually turned to all open in the morning",
3/16/21,,No access to feed for several hours in the afternoon due to hoof trimming
3/17/21,Water bin broken down,
3/22/21,Insentec compressor down,
3/23/21,,Compressor down again
4/8/21,,cow 7064 was switched to 0
4/9/21,,cow 7064 was switched to 0
4/10/21,,cow 5096 was removed for half a day due to difficulty turning around in the parlor
4/11/21,,cow 5096 was removed for half a day due to difficulty turning around in the parlor
4/15/21,,Brush crew people were in the pen for significnat amount of time
4/27/21,"Feed composition change, no feed access during night",
4/28/21,"Feed composition change, no feed access during night",
5/2/21,Missing data for half a day,
5/3/21,Missing data for half a day,
5/6/21,,water bin 104 was temperorily closed
5/7/21,,water bin 104 was temperorily closed
5/8/21,,water bin 104 was temperorily closed
5/9/21,,water bin 104 was temperorily closed
5/10/21,,water bin 104 was temperorily closed
5/11/21,,water bin 104 was temperorily closed
5/12/21,,water bin 104 was temperorily closed
5/13/21,,water bin 104 was temperorily closed
5/17/21,,Cows escaped to the pasture from around 9pm to 10:30 pm; bin 9 left closed for some part of the day
